,from_um,to_um
0,0.0,159.54605263157896
1,159.54605263157896,319.0921052631579
2,319.0921052631579,478.6381578947369
3,478.6381578947369,638.1842105263158
4,638.1842105263158,797.7302631578948
5,797.7302631578948,957.2763157894738
6,957.2763157894738,1116.8223684210527
7,1116.8223684210527,1276.3684210526317
8,1276.3684210526317,1435.9144736842106
9,1435.9144736842106,1595.4605263157896
10,1595.4605263157896,1755.0065789473686
11,1755.0065789473686,1914.5526315789475
12,1914.5526315789475,2074.0986842105267
13,2074.0986842105267,2233.644736842106
14,2233.6447368421054,2393.190789473684
15,2393.190789473684,2552.7368421052633
16,2552.7368421052633,2712.2828947368425
17,2712.2828947368425,2871.8289473684217
18,2871.8289473684213,3031.375
19,3031.375,3190.921052631579
20,3190.921052631579,3350.4671052631584
21,3350.4671052631584,3510.0131578947376
22,3510.013157894737,3669.559210526316
23,3669.559210526316,3829.105263157895
24,3829.105263157895,3988.651315789474
25,3988.651315789474,4148.197368421053
26,4148.197368421053,4307.743421052633
27,4307.743421052632,4467.289473684211
28,4467.289473684211,4626.83552631579
29,4626.83552631579,4786.381578947369
30,4786.381578947368,4945.9276315789475
31,4945.9276315789475,5105.473684210527
32,5105.473684210527,5265.019736842106
33,5265.019736842106,5424.565789473685
34,5424.565789473685,5584.111842105264
35,5584.111842105263,5743.6578947368425
36,5743.6578947368425,5903.203947368422
37,5903.203947368422,6062.750000000001
38,6062.75,6222.296052631579
39,6222.296052631579,6381.842105263158
40,6381.842105263158,6541.388157894738
41,6541.388157894738,6700.934210526317
42,6700.934210526317,6860.480263157896
43,6860.480263157895,7020.026315789474
44,7020.026315789474,7179.572368421053
45,7179.572368421053,7339.118421052633
46,7339.118421052632,7498.664473684211
47,7498.664473684211,7658.21052631579
48,7658.21052631579,7817.756578947369
49,7817.756578947369,7977.302631578948
50,7977.302631578948,8136.848684210528
51,8136.848684210527,8296.394736842105
52,8296.394736842107,8455.940789473685
53,8455.940789473685,8615.486842105263
54,8615.486842105263,8775.032894736842
55,8775.032894736843,8934.578947368422
56,8934.578947368422,9094.125
57,9094.125,9253.671052631578
58,9253.67105263158,9413.217105263158
59,9413.217105263158,9572.763157894737
60,9572.763157894737,9732.309210526315
61,9732.309210526317,9891.855263157895
62,9891.855263157895,10051.401315789473
63,10051.401315789475,10210.947368421053
64,10210.947368421053,10370.493421052632
65,10370.493421052632,10530.03947368421
66,10530.039473684212,10689.58552631579
67,10689.58552631579,10849.131578947368
68,10849.13157894737,11008.677631578948
69,11008.677631578948,11168.223684210527
70,11168.223684210527,11327.769736842105
71,11327.769736842107,11487.315789473685
72,11487.315789473685,11646.861842105263
73,11646.861842105263,11806.407894736842
74,11806.407894736843,11965.953947368422
75,11965.953947368422,12125.5
76,12125.5,12285.046052631578
77,12285.04605263158,12444.592105263158
78,12444.592105263158,12604.138157894737
79,12604.138157894738,12763.684210526317
80,12763.684210526317,12923.230263157895
81,12923.230263157895,13082.776315789473
82,13082.776315789475,13242.322368421053
83,13242.322368421053,13401.868421052632
84,13401.868421052633,13561.414473684212
85,13561.414473684212,13720.96052631579
86,13720.96052631579,13880.506578947368
87,13880.50657894737,14040.052631578948
88,14040.052631578948,14199.598684210527
89,14199.598684210527,14359.144736842105
90,14359.144736842107,14518.690789473685
91,14518.690789473685,14678.236842105263
92,14678.236842105263,14837.782894736842
93,14837.782894736843,14997.328947368422
94,14997.328947368422,15156.875
95,15156.875000000002,15316.42105263158
96,15316.42105263158,15475.967105263158
97,15475.967105263158,15635.513157894737
98,15635.513157894738,15795.059210526317
99,15795.059210526317,15954.605263157895
100,15954.605263157897,16114.151315789475
101,16114.151315789475,16273.697368421053
102,16273.697368421053,16433.243421052633
103,16433.243421052633,16592.789473684214
104,16592.789473684214,16752.335526315794
105,16752.33552631579,16911.88157894737
106,16911.88157894737,17071.42763157895
107,17071.42763157895,17230.97368421053
108,17230.973684210527,17390.519736842107
109,17390.519736842107,17550.065789473687
110,17550.065789473687,17709.611842105267
111,17709.611842105263,17869.157894736843
112,17869.157894736843,18028.703947368424
113,18028.703947368424,18188.250000000004
114,18188.25,18347.79605263158
115,18347.79605263158,18507.34210526316
116,18507.34210526316,18666.88815789474
117,18666.888157894737,18826.434210526317
118,18826.434210526317,18985.980263157897
119,18985.980263157897,19145.526315789477
120,19145.526315789473,19305.072368421053
121,19305.072368421053,19464.618421052633
122,19464.618421052633,19624.164473684214
123,19624.164473684214,19783.710526315794
124,19783.71052631579,19943.25657894737
125,19943.25657894737,20102.80263157895
126,20102.80263157895,20262.34868421053
127,20262.348684210527,20421.894736842107
128,20421.894736842107,20581.440789473687
129,20581.440789473687,20740.986842105267
130,20740.986842105263,20900.532894736843
131,20900.532894736843,21060.078947368424
132,21060.078947368424,21219.625000000004
133,21219.625,21379.17105263158
134,21379.17105263158,21538.71710526316
135,21538.71710526316,21698.26315789474
136,21698.26315789474,21857.80921052632
137,21857.809210526317,22017.355263157897
138,22017.355263157897,22176.901315789477
139,22176.901315789477,22336.447368421057
140,22336.447368421053,22495.993421052633
141,22495.993421052633,22655.539473684214
142,22655.539473684214,22815.085526315794
143,22815.08552631579,22974.63157894737
144,22974.63157894737,23134.17763157895
145,23134.17763157895,23293.72368421053
146,23293.723684210527,23453.269736842107
147,23453.269736842107,23612.815789473687
148,23612.815789473687,23772.361842105267
149,23772.361842105263,23931.907894736843
150,23931.907894736843,24091.453947368424
151,24091.453947368424,24251.000000000004
